metier_original,occurrences,mots_malgache,mots_francais
MIVAROTRA KAFE SY MOFO,17,"miv, var, mofo",
MPITONDRA CYCLO POUSSE,17,mpi,
"NAMBOLY VARY,KATSAKA,VOMANGA,POMA",17,"man, var, vary, katsaka, mboly",
MIVAROTRA COMPOSE,17,"miv, var",
MPIVAROTRA YAOURT,17,"mpi, var",
MPAMBOLY LEGUME,17,"mboly, mpam",
MPIVAROTRA TELEPHONE,17,"mpi, var",
VENDEUR,17,,vendeur
MIHADY VOLAMENA,17,,
DEUXIEME ADJOIN AU MAIRE,17,,
PLOMBIER,17,,plombier
GERANT,16,,
MPIVAROTRA VOANKAZO,16,"mpi, var",
MANAO MOFO GASY,16,"man, mofo",
MIASA AN TRANO,16,"trano, rano",
MPANAO SARANKATSAHA,16,mpan,
MIASATRANO,16,"trano, rano",
LIVREUR,16,,
MPAMBOLY ANTSOROROKA,16,"mboly, mpam",
PANAMPY ANTRANO,16,"trano, rano",
MIKARAMA MANAO TOKA,16,"man, karama",
MAMBOLY SY MIOMPY,16,"mam, mboly",
SARAKANTSAHA NA KIBAROA,16,,
MIVAROTRA VORONA,16,"miv, var",
MAMBOLY VARY SY VOANJOBORY,16,"mam, var, vary, mboly",
MPAMPIANATRA AMBARATONGA VOALOHANY,16,"mpi, mpam",
MIVAROTRA FRIPY,16,"miv, var",
MANEOUVRE AGRICOLLE,16,man,
MANJAITRA KIRARO,16,man,
MIVAROTRA ENTANA MADINIKA,16,"miv, var, entana",
MPAMBOLY VARY SY VOANJO,16,"var, vary, mboly, mpam",
MANAMPY MAMBOLY,16,"mam, man, mboly",
SARANKANTSAHA,16,,
OPERATEUR DE SAISIE,16,,
TECHNICIEN,16,,technicien
MAMBOLY TSAKO SY KABARO,16,"mam, mboly",
AIDE MACON,16,,
MITARIKA SARETY,16,,
MAMBOLY BALAHAZO SY VOANJO,16,"mam, mboly",
MPANJONO FILAO AN-DRANOMASINA,15,"rano, mpan",
MANAO SY MIVAROTRA MOFO,15,"man, miv, var, mofo",
MPIVAROTRA KIRARO,15,"mpi, var",
MABOLY MANGAHAZO,15,man,
MIVAROTRA VOANJO,15,"miv, var",
MANAMPY ANTRANO,15,"man, trano, rano",
MANOEUVRE TRANO,15,"man, trano, rano",
MIKARAKARA TOKATRANO,15,"trano, rano",
MPANAMPY FIANAKAVIANA MAMBOLY VARY,15,"mam, var, vary, mboly, mpan",
MIVAROTRA QUINCAILLERIE,15,"miv, var",
MPANDRARY TSIHY SY HARONA,15,mpan,
PRODUCTEUR DU PEPINIERE,15,,
MPANAMBOATRA TOAKA GASY,15,mpan,
MECANICIEN MOTO,15,,
MPIVAROTRA AMIN'NY EPICERIE,15,"mpi, var",
MANAO FANAKA,15,man,
TECHNICIEN AGRICOLE,15,,technicien
MAMBOLY VARY MANGAHAZO VOMANGA,15,"mam, man, var, vary, mboly",
MPANJONO TRONDRO ANDRANOMASINA,15,"rano, mpan",
MPIOMPY AKOHO AMAM-BORONA,15,"mpi, mam, akoho",
MAMBOATRA TRANO,15,"mam, trano, rano",
SASA LAMBA,15,lamba,
MPAMBOLY JIROFO SY VANILLE,15,"mboly, mpam",
MPIVAROTRA AKOHO,15,"mpi, var, akoho",
MIVAROTRA TRAKA,15,"miv, var",
MITONDRA CYCLOPOUSSE,15,,
MIVAROTRA ENTA MADINIKA,15,"miv, var",
MANAMBOATRA YAOURT,15,man,
REPARATEUR TELEPHONE,15,,
MPANASALAMBA,15,"lamba, mpan",
MPIVAROTRA LASOPY,15,"mpi, var",
MPAMBOLY LEGUMES,15,"mboly, mpam",
MAMBOLY VOANJOBORY,15,"mam, mboly",
MANAMBOATRA TOAKA,15,man,
MIGOZA FIBRE SISAL,15,,
MITSANDRAKA VOLAMENA,15,,
MPIVAROTRA SAKOA,15,"mpi, var",
MPIVAROTRA COMPOSE,15,"mpi, var",
PAMBOLY VARY,14,"var, vary, mboly",
MIVAROTRA RAOKANDRO,14,"miv, var",
MPITANDRO FILAMINANA,14,mpi,
MAMPIANATRA FRAM,14,"mpi, mam",
CAISSIERE,14,,
MANAMBOATRA MOFO SY CAFE,14,"man, mofo",
MIVAROTRA FRIP,14,"miv, var",
MIARAKANDRO OMBY,14,omby,
PAMBOLY MANGAHAZO,14,"man, mboly",
MAMBOLY TONGOLO GASY,14,"mam, mboly",
MIVIDY SY MIVAROTRA OSY VELONA,14,"miv, var",
MITONDRA TUC TUC,14,,
MPITSARA,14,mpi,
MAMPIANATRA AMIN'NY LYCEE,14,"mpi, mam",
MACON MPANAO TRANO,14,"trano, rano, mpan",
PEINTRE,14,,
MPIVAROTRA CONFECTION,14,"mpi, var",
MPANDRAFITRA HAZO,14,mpan,
MPIANTOKA POMME,14,mpi,
MPAMBOATRA CHARBON,14,mpam,
"MPAMBOLY VARY,KATSAKA,MANGAHAZO",14,"man, var, vary, katsaka, mboly, mpam",
MANDRAFITRA FANAKA VITA @ HAZO,14,man,
MIVAROTRA PLANCHE,14,"miv, var",
MACHON,14,,
MPIVAROTRA PPN,14,"mpi, var",
MPANJONO TRONDRO AN-DRANOMAMY,14,"mam, rano, mpan",
MIVAROTRA POKETRA,14,"miv, var",
MANDRARY SY MIVAROTRA TSIHY,14,"man, miv, var",
MIVAROTRA FRIPPERIE,14,"miv, var",
MPIVAROTRA TRAKA,14,"mpi, var",
MIOMPY TRONDRO,14,,
KARAMAINA MANAMBOATRA CHARBON,14,"man, karama",
MAMBOLY VARY MANGAHAZO SNS,14,"mam, man, var, vary, mboly",
MIVAROTRA SARIBAO,14,"miv, var",
MPAMBOLY GIROFLE,14,"mboly, mpam",
MPITONDRA BAJAJ,14,mpi,
MITATITRA ENTANA,14,entana,
SARAKATRAHA,13,,
MITSIMPONA KARETSIKA,13,,
MPIAVA TANIMBOLY,13,"mpi, mboly",
MPIHADY SAFIRA,13,mpi,
MANADIO TANANA,13,man,
MANAO BAR,13,man,
MPANAO SARAKATSA,13,mpan,
"MAMBOLY VARY,KATSAKA",13,"mam, var, vary, katsaka, mboly",
MANASA LAMBAN'OLONA,13,"man, lamba",
"MPAMBOLY VARY, MANGAHAZO",13,"man, var, vary, mboly, mpam",
MPANDOKO TRANO,13,"trano, rano, mpan",
MITSIMPONA TSAKAFOKA,13,,
SASALAMBA,13,lamba,
MITRANDRAKA SAFIRA,13,,
MIKARAMA MANETSA VARY,13,"man, var, vary, karama",
MAMBOLY PETIT POIS,13,"mam, mboly",
OUVRAGE METALIQUE,13,,
CASH POINT,13,,
MANAMPY MIVAROTRA,13,"man, miv, var",
MPANAO SARAK'ATSAHA,13,mpan,
MECANICIEN AUTOMOBILE,13,,
BARMAN,13,man,
MITAONA BIRIKY,13,,
MPANAMBOATRA CHARBON,13,mpan,
CHAUFFEUR TAXIBROUSSE,13,,chauffeur
MAMBOATRA TOAKA,13,mam,
MEDECIN GENERALISTE,13,,
MPIVAROTRA VARY FOTSY,13,"mpi, var, vary",
MANAO CASH POINT,13,man,
MPANAMPY AO ANTRANO,13,"trano, rano, mpan",
MANAO SARAK'ANTSAHY,13,man,
MPITSABO NENTIMPAHARAZANA,13,mpi,
AGENT PENITENTIAIRE,13,,agent
CHAUFEUR TAXI BE,13,,
MPANAO SARAKASAHA,13,mpan,
FITRANDRAHANA VOLAMENA,13,,
PITATITRA TOAKA,13,,
MIVAROTRA KATSAKA,13,"miv, var, katsaka",
MANOEUVRE BTP,13,man,
PECHEUR,13,,
MIVAROTRA TRONDRO MANDEHANDEHA,13,"man, miv, var",
MPIVAROTRA PARAKY,13,"mpi, var",
MPIVAROTRA KATY,13,"mpi, var",
TRESSE DES NATTES,12,,
MIADY FATSAKANA,12,,
MPAMBOLY VOAGNEMBA,12,"mboly, mpam",
MPISIVANA VOLAMENA,12,mpi,
MPIVAROTRA PARAKY GASY,12,"mpi, var",
MIVAROTRA JUS SY CLARNETTE,12,"miv, var",
MPIVAROTRA HENA,12,"mpi, var",
FIASANA TANY,12,tany,
MITSIPONA KABARO,12,,
MPANAMOATRA FANAKA,12,mpan,
MPANAO SARIBAO,12,mpan,
AGENT COMMERCIAL,12,,agent
MPITONDRA SARETY,12,mpi,
SOUDURE,12,,
MENUISIER,12,,
MAMPIANATRA AMBARATONGA VOALOHANY,12,"mpi, mam",
MAMPIANATRA AMIN'NY AMBARATONGA VOALOHANY,12,"mpi, mam",
MIVAROTRA VOATABIA,12,"miv, var",
MIVAROTRA TRONDRO LENA,12,"miv, var",
