idHH_clean,salaire_mensuel,hhmilieu2,hhreg,q4a_02,score_individuel_epm
000000001611,0.0,1,44,Non,6.833333333333333
000000001612,0.0,1,44,Non,6.0
000000001612,0.0,1,44,Non,8.5
000000001612,0.0,1,44,Non,9.333333333333332
000000001701,0.0,2,54,Oui,21.0
000000001701,0.0,2,54,Non,21.833333333333332
000000001701,0.0,2,54,Non,22.666666666666664
000000001702,0.0,2,54,Oui,21.0
000000001702,0.0,2,54,Non,21.833333333333332
000000001703,0.0,2,54,Oui,21.0
000000001703,0.0,2,54,Non,21.833333333333332
000000001704,0.0,2,54,Oui,21.0
000000001704,0.0,2,54,Non,21.833333333333332
000000001704,0.0,2,54,Non,22.666666666666664
000000001704,0.0,2,54,Non,23.5
000000001704,0.0,2,54,Non,24.333333333333332
000000001705,0.0,2,54,Oui,21.0
000000001706,0.0,2,54,Oui,21.0
000000001707,0.0,2,54,Oui,21.0
000000001708,0.0,2,54,Oui,21.0
000000001708,0.0,2,54,Non,21.833333333333332
000000001709,0.0,2,54,Oui,21.0
000000001710,0.0,2,54,Oui,21.0
000000001710,0.0,2,54,Non,21.833333333333332
000000001710,0.0,2,54,Non,22.666666666666664
000000001711,0.0,2,54,Oui,21.0
000000001712,0.0,2,54,Non,21.0
000000001712,0.0,2,54,Oui,21.833333333333332
000000001712,0.0,2,54,Non,22.666666666666664
000000001801,0.0,2,62,Non,21.833333333333332
000000001801,0.0,2,62,Non,23.5
000000001801,0.0,2,62,Non,24.333333333333332
000000001801,0.0,2,62,Non,25.166666666666664
000000001801,0.0,2,62,Non,26.0
000000001801,0.0,2,62,Non,26.833333333333332
000000001802,0.0,2,62,Non,21.0
000000001802,0.0,2,62,Oui,21.833333333333332
000000001802,0.0,2,62,Non,22.666666666666664
000000001802,0.0,2,62,Non,23.5
000000001803,0.0,2,62,Oui,21.0
000000001804,0.0,2,62,Oui,21.0
000000001805,0.0,2,62,Oui,21.0
000000001805,0.0,2,62,Non,21.833333333333332
000000001806,0.0,2,62,Oui,21.0
000000001806,0.0,2,62,Non,21.833333333333332
000000001806,0.0,2,62,Non,22.666666666666664
000000001806,0.0,2,62,Non,23.5
000000001806,0.0,2,62,Non,24.333333333333332
000000001806,0.0,2,62,Non,25.166666666666664
000000001807,0.0,2,62,Non,21.833333333333332
000000001808,0.0,2,62,Oui,21.0
000000001808,0.0,2,62,Non,21.833333333333332
000000001809,0.0,2,62,Oui,21.0
000000001809,0.0,2,62,Non,21.833333333333332
000000001809,0.0,2,62,Non,22.666666666666664
000000001809,0.0,2,62,Non,23.5
000000001809,0.0,2,62,Non,24.333333333333332
000000001809,0.0,2,62,Non,25.166666666666664
000000001810,0.0,2,62,Non,21.833333333333332
000000001810,0.0,2,62,Non,22.666666666666664
000000001810,0.0,2,62,Non,25.166666666666664
000000001811,0.0,2,62,Oui,21.0
000000001811,0.0,2,62,Non,21.833333333333332
000000001812,0.0,2,62,Oui,21.0
000000001812,0.0,2,62,Non,21.833333333333332
000000001901,0.0,2,24,Oui,21.0
000000001901,0.0,2,24,Non,21.833333333333332
000000001901,0.0,2,24,Non,22.666666666666664
000000001901,0.0,2,24,Non,23.5
000000001902,0.0,2,24,Oui,21.0
000000001902,0.0,2,24,Non,21.833333333333332
